No,nama_barang,kode_barang,golongan,bidang,kelompok,sub_kelompok,rincian_objek
1,Tanah Bangunan Rumah Negara Golongan I,1.3.1.01.01.01.001,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
2,Tanah Bangunan Rumah Negara Golongan II,1.3.1.01.01.01.002,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
3,Tanah Bangunan Rumah Negara Golongan III,1.3.1.01.01.01.003,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
4,Tanah Bangunan Rumah Negara Tanpa Golongan,1.3.1.01.01.01.004,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
5,Tanah Bangunan Mess/Wisma/Asrama,1.3.1.01.01.01.005,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
6,Tanah Bangunan Peristirahatan/Bungalaow/Cottage,1.3.1.01.01.01.006,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
7,Tanah Bangunan Rumah Penjaga,1.3.1.01.01.01.007,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
8,Tanah Bangunan Rumah LP,1.3.1.01.01.01.008,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
9,Tanah Bangunan Rumah Tahanan/Rutan,1.3.1.01.01.01.009,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
10,Tanah Bangunan Flat/Rumah Susun,1.3.1.01.01.01.010,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
11,Tanah Kaveling Tanah Matang,1.3.1.01.01.01.011,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
12,Tanah Kaveling (dst),1.3.1.0  1.01.01.012,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
13,Tanah Bangunan Pasar,1.3.1.01.01.02.001,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
14,Tanah Bangunan Pertokoan/Rumah Toko/Koperasi,1.3.1.01.01.02.002,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
15,Tanah Bangunan Gudang,1.3.1.01.01.02.003,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
16,Tanah Bangunan Stasiun Kereta Api,1.3.1.01.01.02.004,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
17,Tanah Bangunan Bioskop,1.3.1.01.01.02.005,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
18,Tanah Bangunan Hotel/Penginapan/Motel,1.3.1.01.01.02.006,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
19,Tanah Bangunan Terminal Darat,1.3.1.01.01.02.007,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
20,Tanah Bangunan Terminal Laut,1.3.1.01.01.02.008,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
21,Tanah Bangunan Terminal Udara,1.3.1.01.01.02.009,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
22,Tanah Bangunan Gedung Kesenian,1.3.1.01.01.02.010,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
23,Tanah Bangunan Gedung Pameran,1.3.1.01.01.02.011,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
24,Tanah Bangunan Gedung Pusat Perbelanjaan,1.3.1.01.01.02.012,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
25,Tanah Bangunan Apotik,1.3.1.01.01.02.013,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
26,Tanah Bangunan Garasi/Pool,1.3.1.01.01.02.014,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
27,Tanah Bangunan Perdagangan lainnya (dst),1.3.1.01.01.02.015,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN
28,Tanah Bangunan Industri Makanan,1.3.1.01.01.03.001,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
29,Tanah Bangunan Industri Minuman,1.3.1.01.01.03.002,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
30,Tanah Bangunan Industri Alat RT,1.3.1.01.01.03.003,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
31,Tanah Bangunan Industri Pakaian/Garment,1.3.1.01.01.03.004,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
32,Tanah Bangunan Industri Baja/Besi/Logam,1.3.1.01.01.03.005,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
33,Tanah Bangunan Industri Pengemasan,1.3.1.01.01.03.006,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
34,Tanah Bangunan Industri Bengkel,1.3.1.01.01.03.007,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
35,Tanah Bangunan Industri Penyulingan Minyak,1.3.1.01.01.03.008,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
36,Tanah Bangunan Industri Kimia Dan Pupuk,1.3.1.01.01.03.009,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
37,Tanah Bangunan Industri Obat-Obatan,1.3.1.01.01.03.010,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
38,Tanah Bangunan Industri Semen,1.3.1.01.01.03.011,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
39,Tanah Bangunan Industri Batu-Bata/Batako,1.3.1.01.01.03.012,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
40,Tanah Bangunan Industri Genteng,1.3.1.01.01.03.013,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
41,Tanah Bangunan Industri Percetakan,1.3.1.01.01.03.014,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
42,Tanah Bangunan Industri Tekstil,1.3.1.01.01.03.015,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
43,Tanah Bangunan Industri Alat Olah Raga,1.3.1.01.01.03.016,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
44,Tanah Bangunan Industri Kendaraan/Otomotif,1.3.1.01.01.03.017,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
45,Tanah Bangunan Industri Persenjataan,1.3.1.01.01.03.018,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
46,Tanah Bangunan Industri Kapal Udara,1.3.1.01.01.03.019,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
47,Tanah Bangunan Industri Kapal Laut,1.3.1.01.01.03.020,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
48,Tanah Bangunan Industri Kereta Api,1.3.1.01.01.03.021,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
49,Tanah Bangunan Industri Keramik/Marmer,1.3.1.01.01.03.022,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
50,Tanah Untuk Bangunan Pabrik Es,1.3.1.01.01.03.023,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
51,Tanah Bangunan Industri lainnya (dst),1.3.1.01.01.03.024,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN INDUSTRI
52,Tanah Bangunan Kantor Pemerintah,1.3.1.01.01.04.001,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
53,Tanah Bangunan Pendidikan Dan Latihan,1.3.1.01.01.04.002,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
54,Tanah Bangunan Rumah Sakit,1.3.1.01.01.04.003,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
55,Tanah Bangunan Balai Sidang/Pertemuan,1.3.1.01.01.04.004,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
56,Tanah Bangunan Balai Nikah,1.3.1.01.01.04.005,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
57,Tanah Bangunan Puskesmas/Posyandu,1.3.1.01.01.04.006,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
58,Tanah Bangunan Poliklinik,1.3.1.01.01.04.007,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
59,Tanah Bangunan Laboratorium,1.3.1.01.01.04.008,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
60,Tanah Bangunan Fumigasi/Sterilisasi,1.3.1.01.01.04.009,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
61,Tanah Bangunan Karantina,1.3.1.01.01.04.010,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
62,Tanah Bangunan Bangsal Pengolahan/Pondok Kerja,1.3.1.01.01.04.011,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
63,Tanah Bangunan Kandang Hewan,1.3.1.01.01.04.012,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
64,Tanah Bangunan Bangunan Pembibitan,1.3.1.01.01.04.013,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
65,Tanah Bangunan Rumah Pendingin,1.3.1.01.01.04.014,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
66,Tanah Bangunan Rumah Pengeringan,1.3.1.01.01.04.015,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
67,Tanah Bangunan Stasiun Penelitian,1.3.1.01.01.04.016,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
68,Tanah Bangunan Gedung Pelelangan Ikan,1.3.1.01.01.04.017,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
69,Tanah Bangunan Pos Jaga/Menara Jaga,1.3.1.01.01.04.018,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
70,Tanah Bangunan Menara Pengawas/Tower/Lalu Lintas Darat,Laut,Udara,1.3.1.01.01.04.019,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
71,Tanah Bangunan Gedung Perpustakaan,1.3.1.01.01.04.020,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
72,Tanah Bangunan Gedung Pengujian Kelaikan,1.3.1.01.01.04.021,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
73,Tanah Bangunan Gedung Oceanorium/Ebservatorium,1.3.1.01.01.04.022,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
74,Tanah Bangunan Gedung Pemotongan Hewan,1.3.1.01.01.04.023,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
75,Tanah Bangunan Gedung Pembakaran Bangkai Hewan,1.3.1.01.01.04.024,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
76,Tanah Bangunan Perawatan Kereta Api (Depo),1.3.1.01.01.04.025,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
77,Tanah Bangunan Tempat Kerja Lainnya (dst),1.3.1.01.01.04.026,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT KERJA
78,Tanah Untuk Bangunan Sarana Olah Raga Tertutup,1.3.1.01.01.05.001,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GEDUNG SARANA OLAH RAGA
79,Tanah Untuk Bangunan Gedung Sarana Olah Raga Terbuka,1.3.1.01.01.05.002,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GEDUNG SARANA OLAH RAGA
80,Tanah Untuk Bangunan Gedung Sarana Olah Raga Lainnya (dst),1.3.1.01.01.05.003,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN GEDUNG SARANA OLAH RAGA
81,Tanah Untuk Bangunan Masjid,1.3.1.01.01.06.001,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT IBADAH
82,Tanah Untuk Bangunan Gereja,1.3.1.01.01.06.002,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT IBADAH
83,Tanah Untuk Bangunan Pura,1.3.1.01.01.06.003,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT IBADAH
84,Tanah Untuk Bangunan Vihara,1.3.1.01.01.06.004,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT IBADAH
85,Tanah Untuk Bangunan Klenteng/Kuil,1.3.1.01.01.06.005,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT IBADAH
86,Tanah Untuk Bangunan Krematorium,1.3.1.01.01.06.006,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT IBADAH
87,Tanah Untuk Bangunan Ibadah Lainnya,1.3.1.01.01.06.007,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH UNTUK BANGUNAN TEMPAT IBADAH
88,Tanah Persil Lainnya,1.3.1.01.01.07.001,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH PERSIL LAINNYA
89,Tanah Rawa,1.3.1.01.02.01.001,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH BASAH
90,Tanah Danau/Situ/Embung,1.3.1.01.02.01.002,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH BASAH
91,Tanah Tambak/Empang/Kolam Ikan/Akuarium,1.3.1.01.02.01.003,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH BASAH
92,Tanah Waduk,1.3.1.01.02.01.004,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH BASAH
93,Tanah Sawah Irigasi,1.3.1.01.02.01.005,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH BASAH
94,Tanah Aliran Sungai,1.3.1.01.02.01.006,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH BASAH
95,Tanah Muara,1.3.1.01.02.01.007,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH BASAH
96,Daerah Aliran Sungai (DAS),1.3.1.01.02.01.008,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH BASAH
97,Daerah Sempadan Sumber Air,1.3.1.01.02.01.009,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH BASAH
98,Tanah Basah Lainnya,1.3.1.01.02.01.010,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH BASAH
99,Tanah Tegalan,1.3.1.01.02.02.001,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH KERING
100,Tanah Kosong Yang Sudah Diperuntukkan,1.3.1.01.02.02.002,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH KERING
101,Tanah Hasil Reklamasi,1.3.1.01.02.02.003,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH KERING
102,Tanah Kering Lainnya,1.3.1.01.02.02.004,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH KERING
103,Tanah Kebun Entres,1.3.1.01.02.03.001,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERKEBUNAN
104,Tanah Kebun Induk,1.3.1.01.02.03.002,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERKEBUNAN
105,Tanah Kebun Percobaan,1.3.1.01.02.03.003,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERKEBUNAN
106,Tanah Perkebunan Lainnya,1.3.1.01.02.03.004,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERKEBUNAN
107,Tanah Hutan Produksi,1.3.1.01.02.04.001,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH HUTAN
108,Tanah Hutan Cadangan,1.3.1.01.02.04.002,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH HUTAN
109,Tanah Hutan Lindung,1.3.1.01.02.04.003,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH HUTAN
110,Tanah Hutan Cagar Alam,1.3.1.01.02.04.004,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH HUTAN
111,Tanah Hutan Wisata,1.3.1.01.02.04.005,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH HUTAN
112,Tanah Hutan Taman Burung,1.3.1.01.02.04.006,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH HUTAN
113,Tanah Hutan Suaka Marga Satwa,1.3.1.01.02.04.007,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH HUTAN
114,Tanah Hutan Taman Nasional,1.3.1.01.02.04.008,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH HUTAN
115,Tanah Hutan Diklat,1.3.1.01.02.04.009,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH HUTAN
116,Tanah Hutan lainnya,1.3.1.01.02.04.010,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH HUTAN
117,Tanah Tandus Berbatu-Batu,1.3.1.01.02.05.001,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH TANDUS
118,Tanah Tandus Bekas Tambang/Galian,1.3.1.01.02.05.002,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH TANDUS
119,Tanah Tandus Berpasir/Pasir,1.3.1.01.02.05.003,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH TANDUS
120,Tanah Tandus Pengambilan/Kuari,1.3.1.01.02.05.004,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH TANDUS
121,Tanah Tandus lainnya,1.3.1.01.02.05.005,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH TANDUS
122,Tanah Padang Alang-Alang,1.3.1.01.02.06.001,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PADANG ALANG-ALANG/RUMPUT
123,Tanah Padang Rumput,1.3.1.01.02.06.002,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PADANG ALANG-ALANG/RUMPUT
124,Tanah Padang Semak Belukar,1.3.1.01.02.06.003,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PADANG ALANG-ALANG/RUMPUT
125,Tanah Padang lainnya,1.3.1.01.02.06.004,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PADANG ALANG-ALANG/RUMPUT
126,Tanah Usaha,1.3.1.01.02.07.001,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTANIAN
127,Tanah Pertanian lainnya,1.3.1.01.02.07.002,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTANIAN
128,Intan,1.3.1.01.02.08.001,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
129,Emas,1.3.1.01.02.08.002,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
130,Perak,1.3.1.01.02.08.003,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
131,Nikel,1.3.1.01.02.08.004,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
132,Timah,1.3.1.01.02.08.005,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
133,Uranium,1.3.1.01.02.08.006,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
134,Tembaga,1.3.1.01.02.08.007,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
135,Minyak Bumi,1.3.1.01.02.08.008,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
136,Batu Bara,1.3.1.01.02.08.009,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
137,Koslin,1.3.1.01.02.08.010,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
138,Batu Bara Berharga,1.3.1.01.02.08.011,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
139,Pasir Berharga,1.3.1.01.02.08.012,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
140,Tanah tambang lainnya,1.3.1.01.02.08.013,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH PERTAMBANGAN
141,tanah non persil lainnya lainnya (dst),1.3.1.01.02.09.001,ASET TETAP,TANAH,TANAH,TANAH NON PERSIL,TANAH NON PERSIL LAINNYA
142,Tanah Lapangan Tenis,1.3.1.01.03.01.001,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
143,Tanah Lapangan Basket,1.3.1.01.03.01.002,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
144,Tanah Lapangan Badminton/Bulutangkis,1.3.1.01.03.01.003,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
145,Tanah Lapangan Golf,1.3.1.01.03.01.004,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
146,Tanah Lapangan Sepak Bola,1.3.1.01.03.01.005,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
147,Tanah Lapangan Bola Volly,1.3.1.01.03.01.006,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
148,Tanah Lapangan Sepak Takraw,1.3.1.01.03.01.007,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
149,Tanah Lapangan Pacuan Kuda,1.3.1.01.03.01.008,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
150,Tanah Lapangan Balap Sepeda,1.3.1.01.03.01.009,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
151,Tanah Lapangan Atletik,1.3.1.01.03.01.010,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
152,Tanah Lapangan Softball,1.3.1.01.03.01.011,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
153,Tanah Lapangan Hockey,1.3.1.01.03.01.012,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
154,Tanah Lapangan Balap Mobil,1.3.1.01.03.01.013,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
155,Tanah Lapangan Balap Motor,1.3.1.01.03.01.014,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
156,Tanah Lapangan Renang,1.3.1.01.03.01.015,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
157,Tanah Lapangan Futsal,1.3.1.01.03.01.016,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
158,Tanah Lapangan Senam,1.3.1.01.03.01.017,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
159,Tanah Lapangan Bela  Diri,1.3.1.01.03.01.018,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
160,Tanah Lapangan Polo Air,1.3.1.01.03.01.019,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
161,Tanah Lapangan Hokki,1.3.1.01.03.01.020,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
162,Tanah Lapangan Tembak,1.3.1.01.03.01.021,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
163,Tanah Lapangan Halang Rintang,1.3.1.01.03.01.022,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
164,Tanah Lapangan Tembak Senjata Berat,1.3.1.01.03.01.023,ASET TETAP,TANAH,TANAH,LAPANGAN,TANAH LAPANGAN OLAH RAGA
